文件题目,发布机构,发布时间,索 引 号,关 键 字,主题分类,内容.txt
【西安日报】大国重器 西安制造——我市首台（套）重大设备巡礼（六）,工信委,2016-03-24 13:48, 013353737/2016-02014621,j技术,其他,2014621.txt
​【西安日报】大国重器 西安制造——我市首台（套）重大设备巡礼（五）,工信委,2016-03-23 10:41, 013353737/2016-02013017,技术,科技,2013017.txt
【西安日报】大国重器 西安制造——我市首台（套）重大设备巡礼（四）,工信委,2016-03-22 11:45, 013353737/2016-02012258,技术,科技,2012258.txt
【西安日报】大国重器 西安制造——我市首台（套）重大设备巡礼（三）,工信委,2016-03-21 11:59, 013353737/2016-02010615,技术,科技,2010615.txt
【西安日报】大国重器 西安制造——我市首台（套）重大设备巡礼（二）,工信委,2016-03-18 09:47, 013353737/2016-02009076,技术,科技,2009076.txt
【西安日报】大国重器 西安制造——我市首台（套）重大设备巡礼（一）,工信委,2016-03-17 21:31, 013353737/2016-02008928,技术,科技,2008928.txt
市工信委与电信西安分公司签署打造“西安企业云平台”合作协议,工信委,2016-03-11 16:41, 013353737/2016-02003728,合作,对外经贸合作,2003728.txt
市工信委机关为丰泽园养老院开展爱心捐衣活动,工信委,2016-03-11 16:39, 013353737/2016-02003725,社会捐助,社会公益,2003725.txt
市工信委机关女同志喜庆“三八”国际劳动妇女节,工信委,2016-03-09 14:41, 013353737/2016-02002730,妇女,妇女,2002730.txt
市工信委传达学习市纪委六次全会精神,工信委,2016-02-29 14:23, 013353737/2016-01990490,工作动态,文秘工作,1990490.txt
市节能监察监测中心组织学习“两项法规”,工信委,2016-02-15 11:05, 013353737/2016-01953693,工作动态,文秘工作,1953693.txt
市工信委到帮扶村开展新春慰问高龄老人活动,工信委,2016-02-03 08:52, 013353737/2016-01931515,慰问,社会公益,1931515.txt
市工信委机关党员进社区开展送温暖送祝福活动,工信委,2016-02-01 12:31, 013353737/2016-01929756,慰问,优抚安置,1929756.txt
市工信委召开2015年度总结表彰暨2016年目标责任签订大会,工信委,2016-01-28 10:21, 013353737/2016-01927642,会议,文秘工作,1927642.txt
全国工业节能监察工作座谈会在西安召开,工信委,2016-01-25 10:18, 013353737/2016-01927639,会议,文秘工作,1927639.txt
市中小企业服务中心召开组织生活会和2015年目标考评会,中小企业服务中心,2016-01-15 15:54, 013353737/2016-01921649,工作动态,文秘工作,1921649.txt
市工信委党组召开“三严三实”专题民主生活会,工信委,2016-01-12 17:44, 013353737/2016-01919967,工作动态,文秘工作,1919967.txt
市工信委机关启动“天天健步走”活动,工信委,2015-12-31 13:47, 013353737/2015-01909122,工作动态,文秘工作,1909122.txt
市中小企业服务中心召开公共服务平台建设年终座谈会,工信委,2015-12-30 16:03, 013353737/2015-01908183,会议,文秘工作,1908183.txt
2015中国（西安）节能低碳新产品新技术新机制推介会成功召开,工信委,2015-12-18 21:09, 013353737/2015-01901589,节能,节能与资源综合利用,1901589.txt
我市第一批重点用能单位能源审计审核验收工作圆满完成,工信委,2015-11-30 10:29, 013353737/2015-01879778,审计,审计,1879778.txt
市中小企业服务中心为中小企业举办专题报告会,中小企业服务中心,2015-11-25 20:50, 013353737/2015-01875188,工作动态,文秘工作,1875188.txt
市工信委举行《中国共产党廉洁自律准则》和《中国共产党纪律处分条例》专题辅导讲座,工信委,2015-11-25 14:49, 013353737/2015-01874984,廉政建设,监察,1874984.txt
市节能监察监测中心参加“中国节博会”展赞誉而归,工信委,2015-11-22 13:24, 013353737/2015-01879775,博览会,对外经贸合作,1879775.txt
市委宣讲团来市工信委宣讲党的十八届五中全会精神,工信委,2015-11-19 16:08, 013353737/2015-01871463,工作动态,文秘工作,1871463.txt
市中小企业服务中心举办中小微企业税务讲座,中小企业服务中心,2015-11-19 16:05, 013353737/2015-01871460,培训,教育,1871460.txt
市工信委召开反恐怖工作会议,工信委,2015-11-18 22:58, 013353737/2015-01870701,工作动态,文秘工作,1870701.txt
西安市七个园区被认定为全省第一批小型微型企业创业基地,工信委,2015-11-16 13:23, 013353737/2015-01868124,工作动态,文秘工作,1868124.txt
市工信委举办“严以用权”专题辅导报告会,工信委,2015-11-12 16:54, 013353737/2015-01866629,工作动态,文秘工作,1866629.txt
市工信委非公党建指导员集中赴企开展调研工作,工信委,2015-11-12 16:50, 013353737/2015-01866617,调研,机关事务,1866617.txt
市节能监察监测中心开展主题党日活动,工信委,2015-11-12 16:42, 013353737/2015-01866599,节能,节能与资源综合利用,1866599.txt
市工信委传达学习十八届五中全会精神,工信委,2015-11-05 20:06, 013353737/2015-01855590,工作动态,文秘工作,1855590.txt
西安日报：西安工业的“十二五”突破之路,工信委,2015-10-30 14:36, 013353737/2015-01850850,工业,机械制造与重工业,1850850.txt
市工信委组织党员干部到陕西省女子监狱进行警示教育,工信委,2015-09-30 14:50, 013353737/2015-01831874,教育,教育,1831874.txt
市中小企业服务中心举办现代服务业管理专题讲座,工信委,2015-09-30 14:49, 013353737/2015-01831841,工作动态,文秘工作,1831841.txt
市工信委邀请市委党校李清芳教授作“三严三实”专题辅导报告,工信委,2015-09-29 17:12, 013353737/2015-01830666,工作动态,文秘工作,1830666.txt
浓情中秋情系丰泽园孤寡残疾老人,工信委,2015-09-22 11:34, 013353737/2015-01823582,慰问,社会公益,1823582.txt
市直机关第八届运动会田径娱乐类比赛圆满收官,工信委,2015-09-11 17:17, 013353737/2015-01816193,运动会,体育,1816193.txt
三星（中国）半导体有限公司产值突破百亿元大关,工信委,2015-09-10 17:13, 013353737/2015-01815395,工作动态,文秘工作,1815395.txt
市工信委班子成员集体收看抗战胜利纪念大会实况,工信委,2015-09-03 17:26, 013353737/2015-01810669,工作动态,文秘工作,1810669.txt
市工信委组织开展“三严三实”第二专题第一次学习研讨会,工信委,2015-08-28 15:38, 013353737/2015-01807298,工作动态,文秘工作,1807298.txt
我市第六批水平衡测试验收工作圆满完成,工信委,2015-08-19 11:02, 013353737/2015-01799943,节水,水利、水务,1799943.txt
市节能监察监测中心组织党员到社区开展节能宣传活动,工信委,2015-08-12 10:53, 013353737/2015-01796534,节能,节能与资源综合利用,1796534.txt
市节能监察监测中心开展“模拟执法课堂”活动,工信委,2015-08-06 13:27, 013353737/2015-01782648,工作动态,文秘工作,1782648.txt
西安市级机关干部职工硬笔书法暨手工艺作品展圆满落幕,工信委,2015-08-06 13:26, 013353737/2015-01782638,工作动态,文秘工作,1782638.txt
西安市举办中小微企业税务及政策辅导讲座,工信委,2015-08-05 10:54, 013353737/2015-01781357,工作动态,文秘工作,1781357.txt
酷派智能终端生产项目落户西安高新区正式签约,工信委,2015-08-03 13:55, 013353737/2015-01779750,工作动态,文秘工作,1779750.txt
市政府召开上半年全市工业经济运行分析会,工信委,2015-07-28 18:34, 013353737/2015-01775772,会议,文秘工作,1775772.txt
市工信委组织参加工业和信息化系统年中电视电话会议,工信委,2015-07-20 15:55, 013353737/2015-01759222,工作动态,文秘工作,1759222.txt
市工信委传达李克强总理讲话精神,工信委,2015-07-14 10:07, 013353737/2015-01747019,工作动态,文秘工作,1747019.txt
我市出台11条措施稳投资促发展,工信委,2015-07-08 21:38, 013353737/2015-01609094,工作动态,文秘工作,1609094.txt
国家工信部全国节能监察人员培训班在西安举办,工信委,2015-07-08 21:35, 013353737/2015-01609091,培训,教育,1609091.txt
打造西安工业升级版,工信委,2015-07-08 21:34, 013353737/2015-01609088,工作动态,文秘工作,1609088.txt
市社区中心开展主题党日活动,工信委,2015-07-06 22:25, 013353737/2015-01607233,工作动态,文秘工作,1607233.txt
​市中小企业服务中心党支部开展纪念“七一”党日活动,工信委,2015-07-02 17:41, 013353737/2015-01605099,工作动态,文秘工作,1605099.txt
市工信委举办“党的政策暖人心”主题宣讲活动,工信委,2015-06-29 16:58, 013353737/2015-01601175,工作动态,文秘工作,1601175.txt
市工信委举办“三严三实”专题辅导报告会,工信委,2015-06-29 16:57, 013353737/2015-01601172,工作动态,文秘工作,1601172.txt
西安市中小微企业融资培训及交流座谈会顺利举行,工信委,2015-06-25 15:35, 013353737/2015-01598662,工作动态,文秘工作,1598662.txt
追忆革命历史  坚定理想信念,工信委,2015-06-12 15:28, 013353737/2015-01582973,工作动态,文秘工作,1582973.txt
张新民同志为市工信委党员干部讲“三严三实”专题党课,工信委,2015-06-03 12:46, 013353737/2015-01568082,培训,教育,1568082.txt
市级机关第八届运动会拔河比赛圆满落下帷幕,工信委,2015-05-29 13:39, 013353737/2015-01564568,比赛,体育,1564568.txt
市工信委系统积极参与市直机关八运会开幕式暨越野赛活动,工信委,2015-05-15 13:31, 013353737/2015-01539791,工作动态,文秘工作,1539791.txt
市黄金办党支部赴川陕革命根据地纪念馆开展主题党日活动,工信委,2015-05-15 13:31, 013353737/2015-01539788,工作动态,文秘工作,1539788.txt
市工信委两位离退休干部受到市委表彰,工信委,2015-04-30 16:56, 013353737/2015-01533732,表彰,人事工作,1533732.txt
市工信委党委迅速贯彻落实市委常委（扩大）会议精神,工信委,2015-04-29 14:27, 013353737/2015-01526940,工作动态,文秘工作,1526940.txt
市工信委与陕西省信息化工程研究院建立战略合作伙伴关系,工信委,2015-04-15 14:49, 013353737/2015-01517103,工作动态,文秘工作,1517103.txt
市工信委举办两化融合专题学习讲座,工信委,2015-03-31 21:37, 013353737/2015-01507524,工作动态,文秘工作,1507524.txt
省工信厅领导到市节能中心考察调研,工信委,2015-03-30 13:55, 013353737/2015-01505367,调研,机关事务,1505367.txt
市工信委开展女职工维权法律知识答题活动,工信委,2015-03-25 15:56, 013353737/2015-01501784,工作动态,文秘工作,1501784.txt
市工信委开展植树活动,工信委,2015-03-13 15:16, 013353737/2015-01490950,工作动态,文秘工作,1490950.txt
​市工业技工学校教师马军入选2月“西安好人榜”,工信委,2015-03-13 15:03, 013353737/2015-01490895,表彰,人事工作,1490895.txt
接受国学洗礼  提升心灵智慧,工信委,2015-03-09 21:40, 013353737/2015-01487328,参观,机关事务,1487328.txt
三部门联合印发《国家增材制造产业发展推进计划（2015-2016年）》,工信委,2015-02-28 14:56, 013353737/2015-01479844,产业,经济体制改革,1479844.txt
市中小企业服务中心在职党员开展进社区服务活动,工信委,2015-02-26 22:52, 013353737/2015-01478851,工作动态,文秘工作,1478851.txt
市工信委召开2014年度总结表彰暨2015年目标责任签订大会,工信委,2015-02-10 16:48, 013353737/2015-01471938,工作动态,文秘工作,1471938.txt
市工信委节前慰问帮扶村贫困户,工信委,2015-02-06 13:40, 013353737/2015-01469215,扶贫帮困,扶贫,1469215.txt
市工信委系统大力开展党员进社区活动,工信委,2015-02-06 13:38, 013353737/2015-01469212,工作动态,文秘工作,1469212.txt
阎良区召开亲商助企活动推进会,工信委,2016-11-30 15:38, 013353737/2016-02237680,工作动态,文秘工作,2237680.txt
关于印发《西安市企业技术中心认定管理办法》的通知,工信委,2016-07-28 21:03, 013353737/2017-02121558,通知,文秘工作,信发〔2016〕94号,2121558.txt
